gene_id	gene_short_name	GS-1_FPKM	GS-2_FPKM	GS-3_FPKM	CK-1_FPKM	CK-2_FPKM	CK-3_FPKM	M-1_FPKM	M-2_FPKM	M-3_FPKM	GS-1_count	GS-2_count	GS-3_count	CK-1_count	CK-2_count	CK-3_count	M-1_count	M-2_count	M-3_count
21859	Timp3	288.493	256.094	362.338	306.594	214.499	303.154	276.999	259.251	254.167	41635.1	37397.3	51324.7	43813.4	31898.9	43463.1	38464.7	36935.6	35602.6
110595	Timp4	2.10483	1.11515	1.33288	1.48531	1.76906	1.63369	1.17474	2.40265	3.53716	69.6751	36.7673	42.7106	48.3715	59.0243	53.8493	37.9873	78.7015	113.482
26944	Tinag	7.39665	8.85133	7.15555	8.14256	6.62039	6.96821	9.53384	7.52655	7.28549	413.278	496.855	399.039	445.576	380.891	385.92	514.369	417.118	394.484
94242	Tinagl1	36.7545	30.2217	29.2342	41.9262	31.4763	35.6503	26.3397	27.5148	25.9191	1905.09	1544.23	1522.94	2189.74	1613.02	1854.43	1406.56	1432.37	1368.09
28113	Tinf2	9.3155	10.017	8.5964	10.4585	12.0818	9.79647	8.30492	8.68613	8.96836	428.549	464.063	385.615	485.575	568.109	454.353	377.82	402.362	421.504
99929	Tiparp	32.1872	28.618	42.9642	30.4684	34.5013	33.7832	27.9975	25.7895	25.6638	4267.36	3838.7	5513.32	3892.05	4786.5	4361.79	3417.83	3323.17	3167.58
66131	Tipin	8.25499	9.85329	10.0823	10.7915	14.111	11.32	11.0556	9.9062	10.3406	329.286	402.453	389.276	427.902	592.088	450.988	421.967	396.459	413.398
226591	Tiprl	8.18252	8.68187	9.55082	9.13981	8.83675	8.61171	10.2611	8.87783	9.13329	1006.95	1080.16	1120.24	1104.17	1129.76	1048.94	1180.69	1072.31	1069.07
117149	Tirap	6.34125	6.81772	7.25871	6.99718	7.56755	6.00975	7.12615	5.87271	6.22054	885.732	960.918	1009.19	972.081	1072.58	835.786	978.43	810.626	853.815
74094	Tjap1	6.56367	7.06842	5.71879	6.09427	7.13942	6.44841	5.80131	5.90976	5.89873	419.959	452.138	369.751	393.484	461.127	416.21	381.926	385.637	394.484
21872	Tjp1	110.013	100.862	133.902	108.196	75.6571	112.624	146.535	110.987	94.1886	24528.5	22602.9	29443.4	23849	17345.8	24833.5	31529.5	24498.8	20629.4
21873	Tjp2	35.4346	39.2128	35.9031	36.3653	37.4348	38.0723	41.084	38.4148	33.8651	5641.77	6245.47	5770.81	5855.74	6024.17	6089.46	6648.81	6194.79	5626.35
27375	Tjp3	8.66783	8.77863	8.57876	5.62618	13.7127	8.09875	5.48759	6.95489	7.41859	707.247	709.509	708.994	468.831	1108.55	667.507	467.14	577.471	641.261
21877	Tk1	2.3196	4.85515	3.14258	3.50415	7.79028	2.9917	1.91746	2.66911	3.07642	76.3562	158	100.065	115.347	255.465	98.7233	63.6544	88.5386	101.773
57813	Tk2	10.5074	10.79	10.2017	11.2108	11.2653	11.4001	11.1188	11.7184	11.3713	712.976	733.358	672.386	764.642	775.616	784.18	743.319	795.869	762.85
21881	Tkt	48.5371	43.2302	42.0813	40.7289	48.902	48.3694	41.9932	75.3287	104.707	4592.83	4101.04	3980.62	3888.32	4666.61	4624.31	4012.28	7136.26	10001.7
83553	Tktl1	0.190914	0.185738	0.194908	0.16466	0.103556	0.147183	0.199595	0.216195	0.176349	13.3623	12.9182	13.4233	11.1627	7.37804	10.0967	13.3469	14.7565	11.7084
74419	Tktl2	0	0	0.0220227	0	0	0	0.00600825	0	0	0	0	1.2203	0	0	0	1.02668	0	0
68385	Tlcd1	6.61571	6.00454	4.95326	5.56583	4.9722	6.95855	5.41215	5.91583	7.82186	202.344	182.843	148.877	165.579	152.172	210.91	163.243	179.046	228.765
380712	Tlcd2	6.10037	7.06358	7.35867	7.19275	6.15696	6.94896	6.50057	7.15141	8.52926	129.806	147.069	150.097	151.626	129.116	148.086	136.549	150.517	179.229
74347	Tldc1	3.25512	3.46979	2.90063	3.11409	3.5247	3.74614	2.81758	3.28502	3.6746	241.477	257.371	217.214	232.555	262.843	279.343	212.524	244.958	274.698
383766	Tldc2	0.200274	0.139364	0	0	0	0.0772913	0	0.0688277	0	2.86336	1.98742	0	0	0	1.12186	0	0.983769	0
21885	Tle1	19.261	18.7589	21.3014	19.9663	14.2852	21.3565	19.2803	16.7231	14.9867	2148.47	2080.83	2357.62	2216.72	1598.27	2363.76	2131.4	1864.24	1672.5
21886	Tle2	8.43499	8.03126	6.17074	8.24645	3.77877	7.23842	7.35326	7.54148	8.22843	543.084	507.786	401.479	529.296	236.097	467.816	486.648	484.998	535.886
